Name,Description,Price,Quantity,Stock,Published,Categories,Default Category
Fresh Tomatoes,Locally sourced fresh tomatoes,30,1 kg,100,TRUE,Vegetables & Fruits; Fresh Vegetables,Vegetables & Fruits
Organic Spinach,Farm fresh organic spinach,45,500 g,80,TRUE,Vegetables & Fruits; Fresh Vegetables,Vegetables & Fruits
Green Bell Peppers,Crisp green capsicum,25,500 g,90,TRUE,Vegetables & Fruits; Fresh Vegetables,Vegetables & Fruits
Red Onions,Premium quality red onions,20,1 kg,120,TRUE,Vegetables & Fruits; Fresh Vegetables,Vegetables & Fruits
Sweet Potatoes,Nutritious sweet potatoes,35,1 kg,75,TRUE,Vegetables & Fruits; Fresh Vegetables,Vegetables & Fruits
Red Apples,Premium red apples,180,1 kg,85,TRUE,Vegetables & Fruits; Fresh Fruits,Vegetables & Fruits
Alphonso Mangoes,Premium Alphonso mangoes,400,1 kg,50,TRUE,Vegetables & Fruits; Fresh Fruits,Vegetables & Fruits
Sweet Oranges,Juicy naval oranges,120,1 kg,90,TRUE,Vegetables & Fruits; Fresh Fruits,Vegetables & Fruits
Green Grapes,Seedless green grapes,90,500 g,70,TRUE,Vegetables & Fruits; Fresh Fruits,Vegetables & Fruits
Kiwi,Imported fresh kiwi,200,500 g,40,TRUE,Vegetables & Fruits; Exotic Fruits & Vegetables,Vegetables & Fruits
Dragon Fruit,Fresh dragon fruit,250,piece,30,TRUE,Vegetables & Fruits; Exotic Fruits & Vegetables,Vegetables & Fruits
Avocados,Imported avocados,150,piece,45,TRUE,Vegetables & Fruits; Exotic Fruits & Vegetables,Vegetables & Fruits
Broccoli,Fresh broccoli,120,500 g,60,TRUE,Vegetables & Fruits; Fresh Vegetables,Vegetables & Fruits
Baby Corn,Fresh baby corn,80,200 g,55,TRUE,Vegetables & Fruits; Fresh Vegetables,Vegetables & Fruits
Mixed Lettuce,Assorted lettuce varieties,60,200 g,70,TRUE,Vegetables & Fruits; Fresh Vegetables,Vegetables & Fruits
,,,,,,,
Whole Wheat Bread,Fresh baked whole wheat bread,45,400 g,100,TRUE,"Bakery, Cakes & Dairy; Bread & Buns","Bakery, Cakes & Dairy"
Multigrain Bread,Healthy multigrain bread,55,400 g,80,TRUE,"Bakery, Cakes & Dairy; Bread & Buns","Bakery, Cakes & Dairy"
Burger Buns,Soft burger buns pack of 4,40,200 g,90,TRUE,"Bakery, Cakes & Dairy; Bread & Buns","Bakery, Cakes & Dairy"
Hot Dog Rolls,Fresh hot dog rolls pack of 6,45,300 g,75,TRUE,"Bakery, Cakes & Dairy; Bread & Buns","Bakery, Cakes & Dairy"
Garlic Bread,Freshly baked garlic bread,60,250 g,60,TRUE,"Bakery, Cakes & Dairy; Bread & Buns","Bakery, Cakes & Dairy"
Chocolate Cake,Rich chocolate cake,350,500 g,40,TRUE,"Bakery, Cakes & Dairy; Cakes & Pastries","Bakery, Cakes & Dairy"
Black Forest Pastry,Classic black forest pastry,90,piece,50,TRUE,"Bakery, Cakes & Dairy; Cakes & Pastries","Bakery, Cakes & Dairy"
Butter Croissant,Flaky butter croissant,50,piece,70,TRUE,"Bakery, Cakes & Dairy; Cakes & Pastries","Bakery, Cakes & Dairy"
Fruit Danish,Assorted fruit danish,55,piece,45,TRUE,"Bakery, Cakes & Dairy; Cakes & Pastries","Bakery, Cakes & Dairy"
Paneer,Fresh cottage cheese,80,200 g,100,TRUE,"Bakery, Cakes & Dairy; Dairy Products","Bakery, Cakes & Dairy"
Greek Yogurt,Thick Greek-style yogurt,120,400 g,80,TRUE,"Bakery, Cakes & Dairy; Dairy Products","Bakery, Cakes & Dairy"
Cheese Slices,Processed cheese slices,110,200 g,90,TRUE,"Bakery, Cakes & Dairy; Dairy Products","Bakery, Cakes & Dairy"
Butter,Fresh dairy butter,50,100 g,120,TRUE,"Bakery, Cakes & Dairy; Dairy Products","Bakery, Cakes & Dairy"
Fresh Cream,Pure dairy cream,45,200 ml,85,TRUE,"Bakery, Cakes & Dairy; Dairy Products","Bakery, Cakes & Dairy"
Mozzarella Cheese,Fresh mozzarella cheese,200,200 g,70,TRUE,"Bakery, Cakes & Dairy; Dairy Products","Bakery, Cakes & Dairy"
,,,,,,,
Red Bull,Energy drink Red Bull,125,250 ml,100,TRUE,Beverages; Energy Drinks,Beverages
Monster Energy,Monster energy drink,150,350 ml,80,TRUE,Beverages; Energy Drinks,Beverages
Gatorade,Sports drink various flavors,70,500 ml,120,TRUE,Beverages; Energy Drinks,Beverages
Glucon D,Energy glucose powder,90,500 g,150,TRUE,Beverages; Energy Drinks,Beverages
Power Horse,Power Horse energy drink,130,250 ml,70,TRUE,Beverages; Energy Drinks,Beverages
Coca Cola,Classic Coke,40,750 ml,200,TRUE,Beverages; Soft Drinks,Beverages
Pepsi,Classic cola drink,40,750 ml,200,TRUE,Cold Drinks & Juices; Soft Drinks,Cold Drinks & Juices
Sprite,Lemon lime beverage,40,750 ml,170,TRUE,Cold Drinks & Juices; Soft Drinks,Cold Drinks & Juices
Fanta,Orange flavored drink,40,750 ml,150,TRUE,Beverages; Soft Drinks,Beverages
Mountain Dew,Energy soft drink,40,750 ml,160,TRUE,Cold Drinks & Juices; Soft Drinks,Cold Drinks & Juices
Mirinda,Orange flavored drink,40,750 ml,150,TRUE,Cold Drinks & Juices; Soft Drinks,Cold Drinks & Juices
Bisleri,Mineral water,20,1 L,300,TRUE,Cold Drinks & Juices; Packaged Water,Cold Drinks & Juices
Kinley,Packaged drinking water,20,1 L,280,TRUE,Cold Drinks & Juices; Packaged Water,Cold Drinks & Juices
Aquafina,Purified water,20,1 L,270,TRUE,Cold Drinks & Juices; Packaged Water,Cold Drinks & Juices
Bailey,Premium mineral water,30,1 L,150,TRUE,Cold Drinks & Juices; Packaged Water,Cold Drinks & Juices
Himalayan,Natural mineral water,50,1 L,120,TRUE,Cold Drinks & Juices; Packaged Water,Cold Drinks & Juices
Club Soda,Premium club soda,35,750 ml,180,TRUE,Beverages; Water & Soda,Beverages
